Date,Open,High,Low,Close,Volume,Turnover
2018/6/12,82.25,82.5,81.95,82.5,2243,184469
2018/6/13,82.45,83.1,82.35,83,4668,386299
2018/6/14,82.5,82.55,81.75,81.75,3564,292513
2018/6/15,81.6,81.95,81.2,81.95,3862,314683
2018/6/19,81.1,81.2,80.6,80.6,4994,403588
2018/6/20,80.65,81.7,80.3,81.5,7867,637797
2018/6/21,81.5,81.6,81.2,81.25,2135,173684
2018/6/22,80.8,81.2,80.35,81.15,6482,523158
2018/6/25,80.85,81.05,80.7,80.9,7993,646507
2018/6/26,80.7,80.7,80,80.7,16434,1320543
2018/6/27,80.75,80.9,80.3,80.4,8308,668958
2018/6/28,80.05,80.4,79.8,80.05,12064,965311
2018/6/29,80.3,81.55,80.2,81.45,6584,532142
2018/7/2,81.5,81.9,81,81.05,4176,340342
2018/7/3,81.3,81.95,80.6,81.15,5024,407797
2018/7/4,81.15,81.6,81.1,81.4,1746,142005
2018/7/5,81.45,81.45,80.6,80.75,3119,252502
2018/7/6,81.1,81.15,80.2,80.95,5351,431771
2018/7/9,81.75,82.45,81.55,82.25,9041,742124
2018/7/10,82.65,82.8,82.35,82.45,4914,405509
2018/7/11,81.7,81.9,81.3,81.7,3899,317878
2018/7/12,81.6,82.65,81.5,82.65,6883,567291
2018/7/13,83,83.4,82.8,83.35,13662,1135576
2018/7/16,83.3,83.45,83,83,5332,443589
2018/7/17,82.85,82.85,82.4,82.55,2993,247260
2018/7/18,83.15,83.5,82.95,83.05,13174,1096705
2018/7/19,83.1,83.8,83.05,83.3,13218,1104868
2018/7/20,84,84.7,84,84.65,18403,1554789
2018/7/23,84.3,84.75,83.85,84.55,8504,717700
2018/7/24,84.45,84.7,84.15,84.7,5117,432639
2018/7/25,84.05,84.85,84.05,84.75,6352,538152
2018/7/26,84.75,85.25,84.75,85,8471,720309
2018/7/27,85.1,85.75,85.1,85.7,5947,508731
2018/7/30,85.65,85.9,85.4,85.55,3230,276780
2018/7/31,85.35,85.7,85.05,85.55,2740,234041
2018/8/1,85.8,86.2,85.8,86.15,4013,345035
2018/8/2,86.1,86.15,84.85,84.85,4775,408144
2018/8/3,85.4,85.7,85.35,85.55,1225,104806
2018/8/6,85.55,86.1,85.35,85.7,2425,208061
2018/8/7,85.7,85.8,85.4,85.5,1199,102655
2018/8/8,85.8,86.4,85.8,86.15,4075,351307
2018/8/9,86.1,86.25,85.7,86.15,1632,140410
2018/8/10,85.7,86.15,85.65,85.7,1280,109887
2018/8/13,85.05,85.05,83.65,83.95,7285,613593
2018/8/14,84.4,84.6,84.05,84.55,2243,189203
2018/8/15,84.5,84.5,83.45,83.75,4280,358443
2018/8/16,83.25,84.1,83.05,83.8,4533,378663
2018/8/17,83.95,84.15,83.6,83.65,4640,388914
2018/8/20,83.9,84.1,83.7,83.95,3148,264001
2018/8/21,83.9,84.65,83.9,84.55,5023,423888
2018/8/22,84.7,84.85,84.35,84.65,3546,300217
2018/8/23,84.8,85.2,84.6,85.05,3869,328565
2018/8/24,85,85.1,84.45,84.8,2549,216059
2018/8/27,85,85.55,85,85.55,5025,428796
2018/8/28,85.95,86.4,85.95,86.25,8288,714613
2018/8/29,86.45,87.35,86.45,87.25,13384,1164633
2018/8/30,87.8,88.35,87.45,87.55,9894,869371
2018/8/31,87,87,86.45,86.95,4246,368332
2018/9/3,86.95,87.2,86.4,86.45,3670,318490
2018/9/4,86.8,87,86.45,87,2358,204511
2018/9/5,87,87.3,86.7,87,2496,217229
2018/9/6,86.9,86.9,86.2,86.5,1946,168385
2018/9/7,86.2,86.45,86,86.4,2506,216029
2018/9/10,86.6,86.6,85.65,86,5319,457231
2018/9/11,85.95,86,85.4,85.65,19525,1672322
2018/9/12,85.85,85.9,85.25,85.55,18584,1588076
2018/9/13,85.8,85.8,84.9,84.95,20996,1789506
2018/9/14,85.75,86.5,85.6,86.5,8616,741764
2018/9/17,86.5,86.5,85.7,85.85,8989,773024
2018/9/18,85.6,85.7,85.2,85.4,6141,524810
2018/9/19,85.8,86.3,85.7,86.15,6882,591823
2018/9/20,86.45,86.55,85.8,85.9,4151,357139
2018/9/21,86.25,86.85,85.9,86.85,7370,636826
2018/9/25,86.65,87.15,86.6,87.1,7506,652735
2018/9/26,86.9,87,86.75,86.9,8037,698254
2018/9/27,86.6,87.45,86.6,87.35,27800,2423747
2018/9/28,87.35,87.65,86.6,86.9,13202,1151404
2018/10/1,86.9,87.4,86.9,87.35,5914,516131
2018/10/2,87.25,87.25,86,86.05,5434,469382
2018/10/3,86.05,86.3,85.8,85.95,4370,375779
2018/10/4,85.7,85.7,84.8,84.9,9737,827292
2018/10/5,84.5,84.5,83,83.45,26744,2239943
2018/10/8,82.95,83.4,82.5,83,46523,3855480
2018/10/9,83.05,83.4,82.8,83.25,20531,1706529
2018/10/11,80.15,80.15,77.35,77.4,68552,5389808
2018/10/12,77.7,80.05,77.5,80.05,23183,1825995
2018/10/15,79.5,79.5,78.65,79.2,49300,3886740
2018/10/16,79,79.5,78.6,79.3,16687,1319118
2018/10/17,80.45,80.5,79.35,79.4,20309,1623444
2018/10/18,79.5,79.75,78.95,79.15,7988,633218
2018/10/19,78.2,79.3,78,79.3,12064,948109
2018/10/22,78.35,79.55,78,79.2,12453,979041
2018/10/23,78.1,78.6,77.7,77.75,24898,1943501
